RNK,PLAYER,TEAM,POS,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
1,Adrian Peterson,Min,RB,0/0,0,0,0,328,1692,13,39,308,1,279
2,Arian Foster,Hou,RB,0/0,0,0,0,319,1354,13,44,406,2,261
3,Marshawn Lynch,Sea,RB,0/0,0,0,0,298,1439,12,20,165,1,233
4,Ray Rice,Bal,RB,0/0,0,0,0,265,1190,9,58,498,2,232
5,Doug Martin,TB,RB,0/0,0,0,0,308,1294,8,58,470,1,226
6,Jamaal Charles,KC,RB,0/0,0,0,0,247,1499,4,51,474,2,228
7,C.J. Spiller,Buf,RB,0/0,0,0,0,252,1498,5,40,429,2,227
8,Trent Richardson,Cle,RB,0/0,0,0,0,295,1251,10,48,374,1,226
9,Alfred Morris,Wsh,RB,0/0,0,0,0,318,1497,11,14,101,0,219
10,Calvin Johnson,Det,WR,0/0,0,0,0,2,15,0,103,1698,12,236
11,LeSean McCoy,Phi,RB,0/0,0,0,0,233,1120,4,67,529,3,200
12,Aaron Rodgers,GB,QB,360/540,4279,39,7,53,271,3,0,0,0,352
13,A.J. Green,Cin,WR,0/0,0,0,0,4,37,0,91,1287,12,201
14,Drew Brees,NO,QB,427/660,5170,40,18,14,7,1,0,0,0,334
15,Steven Jackson,Atl,RB,0/0,0,0,0,226,976,9,47,371,1,192
16,Dez Bryant,Dal,WR,0/0,0,0,0,1,3,0,97,1405,11,202
17,Matt Forte,Chi,RB,0/0,0,0,0,236,1043,4,52,448,2,182
18,Stevan Ridley,NE,RB,0/0,0,0,0,276,1247,10,5,37,0,181
19,Peyton Manning,Den,QB,400/602,4870,38,13,20,4,1,0,0,0,324
20,Brandon Marshall,Chi,WR,0/0,0,0,0,1,3,0,109,1365,10,196
21,Frank Gore,SF,RB,0/0,0,0,0,236,1102,8,25,187,1,178
22,Julio Jones,Atl,WR,0/0,0,0,0,6,64,0,78,1227,10,186
23,Chris Johnson,Ten,RB,0/0,0,0,0,256,1198,5,34,292,0,172
24,Demaryius Thomas,Den,WR,0/0,0,0,0,0,0,0,83,1249,10,180
25,Tom Brady,NE,QB,393/605,4765,34,8,23,57,2,0,0,0,325
26,Roddy White,Atl,WR,0/0,0,0,0,0,0,0,95,1290,8,177
27,Maurice Jones-Drew,Jac,RB,0/0,0,0,0,237,1042,6,36,288,1,172
28,Vincent Jackson,TB,WR,0/0,0,0,0,0,0,0,69,1334,7,175
29,Jimmy Graham,NO,TE,0/0,0,0,0,0,0,0,94,1167,10,174
30,Andre Johnson,Hou,WR,0/0,0,0,0,0,0,0,103,1412,6,177
31,Cam Newton,Car,QB,296/497,3883,20,13,120,726,8,0,0,0,323
32,David Wilson,NYG,RB,0/0,0,0,0,222,1067,4,27,267,2,164
33,Randall Cobb,GB,WR,0/0,0,0,0,15,133,0,99,1186,7,171
34,Darren McFadden,Oak,RB,0/0,0,0,0,216,1088,5,40,306,1,168
35,Larry Fitzgerald,Ari,WR,0/0,0,0,0,0,0,0,79,1256,7,167
36,Wes Welker,Den,WR,0/0,0,0,0,2,16,0,92,1170,6,154
37,Montee Ball,Den,RB,0/0,0,0,0,247,1037,8,14,98,1,162
38,Victor Cruz,NYG,WR,0/0,0,0,0,0,0,0,80,1043,8,152
39,Darren Sproles,NO,RB,0/0,0,0,0,59,313,2,83,696,7,154
40,Marques Colston,NO,WR,0/0,0,0,0,0,0,0,77,1065,8,150
41,Rob Gronkowski,NE,TE,0/0,0,0,0,0,0,0,70,978,13,173
42,Reggie Wayne,Ind,WR,0/0,0,0,0,0,0,0,96,1210,5,149
43,Mike Wallace,Mia,WR,0/0,0,0,0,5,47,0,70,1108,7,154
44,Matt Ryan,Atl,QB,402/610,4737,33,11,30,130,1,0,0,0,314
45,DeMarco Murray,Dal,RB,0/0,0,0,0,197,975,5,37,289,0,151
46,Colin Kaepernick,SF,QB,282/450,3833,20,10,109,590,7,0,0,0,306
47,Danny Amendola,NE,WR,0/0,0,0,0,2,21,0,74,754,7,115
48,Hakeem Nicks,NYG,WR,0/0,0,0,0,0,0,0,60,884,6,124
49,Robert Griffin III,Wsh,QB,237/377,3067,17,7,94,624,6,0,0,0,268
50,Steve Smith,Car,WR,0/0,0,0,0,4,43,0,74,1117,4,137
51,Chris Ivory,NYJ,RB,0/0,0,0,0,166,855,7,9,57,0,128
52,Reggie Bush,Det,RB,0/0,0,0,0,163,703,2,74,610,3,155
53,Eric Decker,Den,WR,0/0,0,0,0,0,0,0,68,883,8,134
54,Dwayne Bowe,KC,WR,0/0,0,0,0,0,0,0,78,982,6,132
55,Ryan Mathews,SD,RB,0/0,0,0,0,199,915,3,38,298,1,140
56,James Jones,GB,WR,0/0,0,0,0,0,0,0,80,1045,7,146
57,Tony Gonzalez,Atl,TE,0/0,0,0,0,0,0,0,89,856,8,133
58,Eddie Lacy,GB,RB,0/0,0,0,0,225,967,7,18,133,0,147
59,Antonio Brown,Pit,WR,0/0,0,0,0,6,42,0,72,980,6,134
60,Lamar Miller,Mia,RB,0/0,0,0,0,198,905,5,27,220,0,138
61,Jason Witten,Dal,TE,0/0,0,0,0,0,0,0,98,936,5,123
62,Jordy Nelson,GB,WR,0/0,0,0,0,0,0,0,66,1003,6,134
63,Le'Veon Bell,Pit,RB,0/0,0,0,0,189,784,6,33,233,0,133
64,Pierre Garcon,Wsh,WR,0/0,0,0,0,2,18,0,63,889,6,123
65,Matthew Stafford,Det,QB,446/707,4975,28,16,22,91,1,0,0,0,288
66,Ahmad Bradshaw,Ind,RB,0/0,0,0,0,154,654,6,34,233,1,128
67,Cecil Shorts,Jac,WR,0/0,0,0,0,0,0,0,63,970,6,131
68,DeSean Jackson,Phi,WR,0/0,0,0,0,11,55,0,62,995,5,130
69,Russell Wilson,Sea,QB,281/437,3150,26,13,101,526,5,0,0,0,280
70,Vernon Davis,SF,TE,0/0,0,0,0,0,0,0,70,785,6,114
71,Torrey Smith,Bal,WR,0/0,0,0,0,3,24,0,64,946,7,138
72,Greg Jennings,Min,WR,0/0,0,0,0,0,0,0,68,806,7,122
73,DeAngelo Williams,Car,RB,0/0,0,0,0,181,779,5,24,195,1,128
74,Tavon Austin,StL,WR,0/0,0,0,0,12,78,0,53,823,5,119
75,Anquan Boldin,SF,WR,0/0,0,0,0,1,12,0,70,887,6,125
76,Andrew Luck,Ind,QB,372/613,4061,26,12,70,289,3,0,0,0,280
77,Giovani Bernard,Cin,RB,0/0,0,0,0,140,704,3,46,390,1,129
78,Steve Johnson,Buf,WR,0/0,0,0,0,0,0,0,80,1008,5,128
79,BenJarvus Green-Ellis,Cin,RB,0/0,0,0,0,217,846,6,14,98,0,127
80,Rashard Mendenhall,Ari,RB,0/0,0,0,0,208,806,6,19,137,1,133
81,Sidney Rice,Sea,WR,0/0,0,0,0,0,0,0,61,940,7,134
82,Tony Romo,Dal,QB,417/627,4756,30,15,25,40,1,0,0,0,284
83,Kyle Rudolph,Min,TE,0/0,0,0,0,0,0,0,52,503,8,98
84,Shane Vereen,NE,RB,0/0,0,0,0,132,587,4,48,386,2,128
85,T.Y. Hilton,Ind,WR,0/0,0,0,0,6,21,0,56,902,6,126
86,Miles Austin,Dal,WR,0/0,0,0,0,0,0,0,57,840,6,118
87,Vick Ballard,Ind,RB,0/0,0,0,0,162,630,6,14,90,0,106
88,Mike Williams,TB,WR,0/0,0,0,0,0,0,0,63,954,5,123
89,Andre Brown,NYG,RB,0/0,0,0,0,111,543,7,17,117,1,113
90,Owen Daniels,Hou,TE,0/0,0,0,0,0,0,0,58,702,5,98
91,Lance Moore,NO,WR,0/0,0,0,0,0,0,0,61,758,7,117
92,Mark Ingram,NO,RB,0/0,0,0,0,167,655,5,12,81,0,103
93,Greg Olsen,Car,TE,0/0,0,0,0,0,0,0,63,747,5,102
94,Eli Manning,NYG,QB,318/532,4037,25,17,30,31,1,0,0,0,232
95,Daryl Richardson,StL,RB,0/0,0,0,0,161,706,2,38,289,1,110
96,Antonio Gates,SD,TE,0/0,0,0,0,0,0,0,50,573,7,99
97,Ben Roethlisberger,Pit,QB,287/449,3275,25,9,31,101,1,0,0,0,221
98,Kenny Britt,Ten,WR,0/0,0,0,0,0,0,0,41,656,5,93
99,Mikel Leshoure,Det,RB,0/0,0,0,0,137,514,7,19,124,0,101
100,Emmanuel Sanders,Pit,WR,0/0,0,0,0,3,14,0,67,877,4,110
101,Denarius Moore,Oak,WR,0/0,0,0,0,4,17,0,58,809,6,115
102,Isaiah Pead,StL,RB,0/0,0,0,0,110,502,3,10,98,1,81
103,Seahawks D/ST,Seahawks,D/ST,0/0,0,0,0,0,0,0,0,0,0,171
104,Bryce Brown,Phi,RB,0/0,0,0,0,120,556,3,12,89,0,75
105,Chris Givens,StL,WR,0/0,0,0,0,4,24,0,57,934,4,117
106,Brandon Myers,NYG,TE,0/0,0,0,0,0,0,0,73,685,5,98
107,Josh Gordon,Cle,WR,0/0,0,0,0,0,0,0,51,901,5,118
108,Vincent Brown,SD,WR,0/0,0,0,0,0,0,0,59,723,6,108
109,Bernard Pierce,Bal,RB,0/0,0,0,0,115,539,2,6,46,0,69
110,Michael Floyd,Ari,WR,0/0,0,0,0,0,0,0,53,686,3,84
111,Joe Flacco,Bal,QB,320/525,3892,21,11,32,27,1,0,0,0,215
112,Jonathan Stewart,Car,RB,0/0,0,0,0,96,434,3,17,140,0,73
113,49ers D/ST,49ers,D/ST,0/0,0,0,0,0,0,0,0,0,0,177
114,Golden Tate,Sea,WR,0/0,0,0,0,4,25,0,53,687,7,112
115,Jared Cook,StL,TE,0/0,0,0,0,0,0,0,51,662,5,94
116,Fred Jackson,Buf,RB,0/0,0,0,0,97,387,3,19,118,1,69
117,Ben Tate,Hou,RB,0/0,0,0,0,110,487,3,8,62,0,70
118,Michael Vick,Phi,QB,225/378,2676,18,13,70,417,2,0,0,0,198
119,Ronnie Hillman,Den,RB,0/0,0,0,0,114,516,1,25,191,2,86
120,Malcom Floyd,SD,WR,0/0,0,0,0,0,0,0,43,696,5,99
121,Rueben Randle,NYG,WR,0/0,0,0,0,0,0,0,54,774,5,105
122,Texans D/ST,Texans,D/ST,0/0,0,0,0,0,0,0,0,0,0,166
123,Ryan Broyles,Det,WR,0/0,0,0,0,0,0,0,75,879,4,107
124,Johnathan Franklin,GB,RB,0/0,0,0,0,100,469,2,20,160,2,84
125,Kendall Wright,Ten,WR,0/0,0,0,0,0,0,0,70,846,5,112
126,Jermichael Finley,GB,TE,0/0,0,0,0,0,0,0,65,743,4,98
127,Jacquizz Rodgers,Atl,RB,0/0,0,0,0,91,396,1,41,345,1,83
128,Sam Bradford,StL,QB,322/531,3523,23,14,37,104,0,0,0,0,206
129,Shonn Greene,Ten,RB,0/0,0,0,0,110,430,6,8,59,0,80
130,Bears D/ST,Bears,D/ST,0/0,0,0,0,0,0,0,0,0,0,160
131,Bilal Powell,NYJ,RB,0/0,0,0,0,120,481,4,16,102,0,80
132,DeAndre Hopkins,Hou,WR,0/0,0,0,0,0,0,0,42,562,5,86
133,Broncos D/ST,Broncos,D/ST,0/0,0,0,0,0,0,0,0,0,0,140
134,Alshon Jeffery,Chi,WR,0/0,0,0,0,0,0,0,52,765,3,92
135,Martellus Bennett,Chi,TE,0/0,0,0,0,0,0,0,48,573,6,93
136,Andy Dalton,Cin,QB,307/520,3446,24,16,36,131,1,0,0,0,210
137,Michael Bush,Chi,RB,0/0,0,0,0,120,458,6,6,35,0,82
138,Andre Roberts,Ari,WR,0/0,0,0,0,3,21,0,57,678,3,87
139,Bengals D/ST,Bengals,D/ST,0/0,0,0,0,0,0,0,0,0,0,125
140,Brandon Pettigrew,Det,TE,0/0,0,0,0,0,0,0,56,547,5,82
141,Roy Helu,Wsh,RB,0/0,0,0,0,70,311,1,41,278,2,74
142,Brian Hartline,Mia,WR,0/0,0,0,0,0,0,0,46,657,3,81
143,Patriots D/ST,Patriots,D/ST,0/0,0,0,0,0,0,0,0,0,0,136
144,Robert Turbin,Sea,RB,0/0,0,0,0,97,420,3,14,89,0,68
145,Zac Stacy,StL,RB,0/0,0,0,0,93,419,4,8,51,0,68
146,Steelers D/ST,Steelers,D/ST,0/0,0,0,0,0,0,0,0,0,0,136
147,Rams D/ST,Rams,D/ST,0/0,0,0,0,0,0,0,0,0,0,123
148,Packers D/ST,Packers,D/ST,0/0,0,0,0,0,0,0,0,0,0,126
149,Stephen Gostkowski,NE,K,0/0,0,0,0,0,0,0,0,0,0,157
150,Blair Walsh,Min,K,0/0,0,0,0,0,0,0,0,0,0,157
151,Matt Bryant,Atl,K,0/0,0,0,0,0,0,0,0,0,0,150
152,Justin Tucker,Bal,K,0/0,0,0,0,0,0,0,0,0,0,148
153,Matt Prater,Den,K,0/0,0,0,0,0,0,0,0,0,0,144
154,Phil Dawson,SF,K,0/0,0,0,0,0,0,0,0,0,0,144
155,Randy Bullock,Hou,K,0/0,0,0,0,0,0,0,0,0,0,141
156,Josh Brown,NYG,K,0/0,0,0,0,0,0,0,0,0,0,137
157,Sebastian Janikowski,Oak,K,0/0,0,0,0,0,0,0,0,0,0,137
158,David Akers,Det,K,0/0,0,0,0,0,0,0,0,0,0,134
159,Justin Blackmon,Jac,WR,0/0,0,0,0,2,20,0,47,601,3,78
160,Jay Cutler,Chi,QB,278/456,3141,21,14,40,232,1,0,0,0,200
161,Daniel Thomas,Mia,RB,0/0,0,0,0,99,388,3,11,72,0,61
162,Greg Little,Cle,WR,0/0,0,0,0,2,16,0,49,567,3,75
163,Mike Tolbert,Car,RB,0/0,0,0,0,48,176,5,25,198,0,66
164,Pierre Thomas,NO,RB,0/0,0,0,0,94,422,0,40,327,1,78
165,Austin Collie,SF,WR,0/0,0,0,0,0,0,0,48,523,5,82
166,Danny Woodhead,SD,RB,0/0,0,0,0,74,365,0,45,391,1,79
167,Brandon Lloyd,FA,WR,0/0,0,0,0,0,0,0,49,658,5,95
168,Josh Freeman,TB,QB,298/550,3771,24,17,41,149,0,0,0,0,218
169,Carson Palmer,Ari,QB,321/535,4087,25,18,20,21,0,0,0,0,221
170,Kendall Hunter,SF,RB,0/0,0,0,0,105,472,2,9,58,0,62
171,Isaac Redman,Pit,RB,0/0,0,0,0,80,306,2,15,123,0,50
172,Fred Davis,Wsh,TE,0/0,0,0,0,0,0,0,45,605,3,78
173,Marcel Reece,Oak,RB,0/0,0,0,0,47,208,0,56,482,1,72
174,Santana Moss,Wsh,WR,0/0,0,0,0,3,12,0,42,533,3,70
175,Matt Schaub,Hou,QB,354/570,4117,23,12,20,7,0,0,0,0,230
176,Michael Turner,FA,RB,0/0,0,0,0,98,371,6,4,25,0,73
177,Jacoby Jones,Bal,WR,0/0,0,0,0,3,18,0,48,620,3,77
178,Philip Rivers,SD,QB,352/552,3789,26,16,25,35,0,0,0,0,216
179,Christine Michael,Sea,RB,0/0,0,0,0,53,239,3,12,91,0,48
180,Ryan Tannehill,Mia,QB,283/477,3249,18,11,49,227,2,0,0,0,205
181,Ryan Williams,Ari,RB,0/0,0,0,0,55,265,2,13,98,1,49
182,Coby Fleener,Ind,TE,0/0,0,0,0,0,0,0,40,467,4,68
183,Darrius Heyward-Bey,Ind,WR,0/0,0,0,0,2,18,0,37,530,3,70
184,Justin Forsett,Jac,RB,0/0,0,0,0,74,359,1,10,89,0,49
185,Robert Woods,Buf,WR,0/0,0,0,0,3,24,0,41,514,3,69
186,Aaron Dobson,NE,WR,0/0,0,0,0,0,0,0,41,454,4,67
187,Lance Dunbar,Dal,RB,0/0,0,0,0,80,351,2,10,61,1,59
188,Jordan Cameron,Cle,TE,0/0,0,0,0,0,0,0,53,599,2,69
189,Kenbrell Thompkins,NE,WR,0/0,0,0,0,0,0,0,47,521,2,62
190,Ed Dickson,Bal,TE,0/0,0,0,0,0,0,0,42,456,4,67
191,Jeremy Kerley,NYJ,WR,0/0,0,0,0,1,21,0,64,754,2,83
192,Ravens D/ST,Ravens,D/ST,0/0,0,0,0,0,0,0,0,0,0,117
193,Joseph Randle,Dal,RB,0/0,0,0,0,60,279,1,25,187,1,53
194,Braylon Edwards,NYJ,WR,0/0,0,0,0,0,0,0,41,512,5,79
195,Santonio Holmes,NYJ,WR,0/0,0,0,0,0,0,0,32,412,3,57
196,Cowboys D/ST,Cowboys,D/ST,0/0,0,0,0,0,0,0,0,0,0,120
197,Nate Burleson,Det,WR,0/0,0,0,0,4,14,0,58,596,2,68
198,Mike Gillislee,Mia,RB,0/0,0,0,0,62,301,1,16,126,0,48
199,Dwayne Allen,Ind,TE,0/0,0,0,0,0,0,0,35,434,4,65
200,LaMichael James,SF,RB,0/0,0,0,0,41,190,3,15,105,1,51
201,Brandon LaFell,Car,WR,0/0,0,0,0,2,23,0,45,644,2,76
202,Andrew Hawkins,Cin,WR,0/0,0,0,0,6,27,0,52,554,2,69
203,Dan Bailey,Dal,K,0/0,0,0,0,0,0,0,0,0,0,134
204,Toby Gerhart,Min,RB,0/0,0,0,0,71,287,1,20,145,1,52
205,Greg Zuerlein,StL,K,0/0,0,0,0,0,0,0,0,0,0,130
206,Jonathan Dwyer,Pit,RB,0/0,0,0,0,62,243,1,11,76,0,37
207,Rashad Jennings,Oak,RB,0/0,0,0,0,85,372,1,18,130,0,52
208,Knowshon Moreno,Den,RB,0/0,0,0,0,51,213,1,12,78,0,34
209,Knile Davis,KC,RB,0/0,0,0,0,77,314,2,8,56,0,44
210,Jermaine Gresham,Cin,TE,0/0,0,0,0,0,0,0,46,533,3,69
211,Rob Housler,Ari,TE,0/0,0,0,0,0,0,0,52,510,2,63
212,Evan Royster,Wsh,RB,0/0,0,0,0,40,165,0,17,128,0,28
213,Brian Quick,StL,WR,0/0,0,0,0,0,0,0,41,571,2,67
214,Alex Smith,KC,QB,217/361,2466,17,6,41,147,1,0,0,0,170
215,DuJuan Harris,GB,RB,0/0,0,0,0,43,205,1,5,47,0,30
216,Tyler Eifert,Cin,TE,0/0,0,0,0,0,0,0,41,529,2,64
217,Cordarrelle Patterson,Min,WR,0/0,0,0,0,3,25,0,24,388,3,58
218,Keenan Allen,SD,WR,0/0,0,0,0,3,18,0,32,389,3,55
219,Justin Hunter,Ten,WR,0/0,0,0,0,0,0,0,30,426,3,58
220,Chris Polk,Phi,RB,0/0,0,0,0,40,205,0,6,35,0,23
221,Rod Streater,Oak,WR,0/0,0,0,0,0,0,0,41,498,3,65
222,Stephen Hill,NYJ,WR,0/0,0,0,0,0,0,0,27,356,3,51
223,Brandon Jackson,Cle,RB,0/0,0,0,0,37,154,1,14,121,1,37
224,Willis McGahee,FA,RB,0/0,0,0,0,85,363,2,11,76,0,53
225,Jarius Wright,Min,WR,0/0,0,0,0,5,37,0,48,492,1,56
226,Julian Edelman,NE,WR,0/0,0,0,0,4,45,0,44,488,2,62
227,Eddie Royal,SD,WR,0/0,0,0,0,2,14,0,43,506,2,63
228,Beanie Wells,FA,RB,0/0,0,0,0,65,261,2,3,17,0,37
229,Davone Bess,Cle,WR,0/0,0,0,0,0,0,0,52,525,2,62
230,Mohamed Sanu,Cin,WR,0/0,0,0,0,5,26,0,41,403,4,64
231,Nate Washington,Ten,WR,0/0,0,0,0,1,12,0,23,342,3,53
232,Dolphins D/ST,Dolphins,D/ST,0/0,0,0,0,0,0,0,0,0,0,102
233,Jerome Simpson,Min,WR,0/0,0,0,0,0,0,0,27,349,2,44
234,Cedric Benson,FA,RB,0/0,0,0,0,87,376,2,9,65,0,53
235,Felix Jones,Phi,RB,0/0,0,0,0,50,222,0,18,117,0,31
236,Zach Miller,Sea,TE,0/0,0,0,0,0,0,0,40,438,3,59
237,Ronnie Brown,SD,RB,0/0,0,0,0,37,145,0,35,265,0,38
238,Mike Goodson,NYJ,RB,0/0,0,0,0,27,120,0,9,54,1,21
239,Riley Cooper,Phi,WR,0/0,0,0,0,0,0,0,38,458,3,59
240,LaRod Stephens-Howling,Pit,RB,0/0,0,0,0,26,122,0,17,115,0,23
241,Jake Locker,Ten,QB,209/378,2705,15,14,48,309,1,0,0,0,170
242,Shaun Draughn,KC,RB,0/0,0,0,0,30,123,0,30,246,0,34
243,Brent Celek,Phi,TE,0/0,0,0,0,0,0,0,47,590,1,63
